URL	A	B	C	D	E	F	links
freebirdfinancial.us	https://www.freebirdfinancial.us/contact-us	https://www.freebirdfinancial.us/about			https://www.freebirdfinancial.us		[ "freebirdfinancial.us", "https://www.freebirdfinancial.us/contact-us", "https://www.freebirdfinancial.us/about", "https://www.freebirdfinancial.us" ]
nexa.law	https://www.nexa.law/	https://www.nexa.law/about-us/	https://www.nexa.law/contact/	https://www.nexa.law/our-team/	https://www.nexa.law/why-instruct-nexa-law/		[ "nexa.law", "https://www.nexa.law/", "https://www.nexa.law/about-us/", "https://www.nexa.law/contact/", "https://www.nexa.law/our-team/", "https://www.nexa.law/why-instruct-nexa-law/" ]
williamslawpc.com	https://williamslawpc.com/	https://williamslawpc.com/about/	https://williamslawpc.com/contact/	https://williamslawpc.com/people/			[ "williamslawpc.com", "https://williamslawpc.com/", "https://williamslawpc.com/about/", "https://williamslawpc.com/contact/", "https://williamslawpc.com/people/" ]
arclightcontent.com	https://arclightcontent.com/	https://arclightcontent.com/about-us/	https://arclightcontent.com/contact-us/				[ "arclightcontent.com", "https://arclightcontent.com/", "https://arclightcontent.com/about-us/", "https://arclightcontent.com/contact-us/" ]
newleaf.family	https://www.newleaf.family/	https://www.newleaf.family/our-firm	https://www.newleaf.family/contact-us	https://www.newleaf.family/testimonials			[ "newleaf.family", "https://www.newleaf.family/", "https://www.newleaf.family/our-firm", "https://www.newleaf.family/contact-us", "https://www.newleaf.family/testimonials" ]
theherringlawgroup.com	https://www.theherringlawgroup.com/about-us/	https://www.theherringlawgroup.com/our-team/			https://www.theherringlawgroup.com		[ "theherringlawgroup.com", "https://www.theherringlawgroup.com/about-us/", "https://www.theherringlawgroup.com/our-team/", "https://www.theherringlawgroup.com" ]
ehglawfirm.com	https://www.ehglawfirm.com/	https://www.ehglawfirm.com/about/	https://www.ehglawfirm.com/contact/	https://www.ehglawfirm.com/practice-areas/			[ "ehglawfirm.com", "https://www.ehglawfirm.com/", "https://www.ehglawfirm.com/about/", "https://www.ehglawfirm.com/contact/", "https://www.ehglawfirm.com/practice-areas/" ]
wudtke.com	https://www.wudtke.com/contact	https://www.wudtke.com/specialities			https://www.wudtke.com		[ "wudtke.com", "https://www.wudtke.com/contact", "https://www.wudtke.com/specialities", "https://www.wudtke.com" ]
selislaw.com	https://www.selislaw.com/about-us	https://www.selislaw.com/locations			https://www.selislaw.com		[ "selislaw.com", "https://www.selislaw.com/about-us", "https://www.selislaw.com/locations", "https://www.selislaw.com" ]
oconnorimmigration.com	https://oconnorimmigration.com/services/	https://oconnorimmigration.com/contact/			https://www.oconnorimmigration.com		[ "oconnorimmigration.com", "https://oconnorimmigration.com/services/", "https://oconnorimmigration.com/contact/", "https://www.oconnorimmigration.com" ]
peopleclerk.com	https://www.peopleclerk.com/contact	https://www.peopleclerk.com/plans			https://www.peopleclerk.com		[ "peopleclerk.com", "https://www.peopleclerk.com/contact", "https://www.peopleclerk.com/plans", "https://www.peopleclerk.com" ]
